ID,Column Name,Label1
2bmr-jdsv,DBA,"Business name, Person name"
2bnn-yakx,Vehicle_Color,"Color, Other"
2bnn-yakx,Vehicle_Body_Type,"Vehicle Type, Other"
2bnn-yakx,Vehicle_Make,"Car make, Other"
2bnn-yakx,Vehicle_Make,"Car make, Other"
2bnn-yakx,Vehicle_Body_Type,"Vehicle Type, Other"
2sps-j9st,PERSON_FIRST_NAME,Person name
2sps-j9st,PERSON_LAST_NAME,"Person name, Business name"
2v9c-2k7f,DBA,City agency
3aka-ggej,CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,Areas of study
3btx-p4av,COMPARABLE_RENTAL___1__Neighborhood,"Neighborhood, Borough"
3btx-p4av,COMPARABLE_RENTAL___1__Building_Classification,Building Classification
3btx-p4av,MANHATTAN___COOPERATIVES_COMPARABLE_PROPERTIES___Building_Classification,Building Classification
3miu-myq2,COMPARABLE_RENTAL___2__Neighborhood,Neighborhood
3rfa-3xsf,Incident_Zip,Zip code
3rfa-3xsf,Street_Name,"Street name, Address"
3rfa-3xsf,Cross_Street_2,Street name
3rfa-3xsf,Park_Facility_Name,Parks/Playgrounds
43nn-pn8j,DBA,Business name
446w-773i,Address_1,Address
4d7f-74pe,Agency,City agency
4e2n-s75z,Address,"Address, Street name"
4hiy-398i,CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,Subjects in school
4kpn-sezh,Website,Websites
4n2j-ut8i,SCHOOL_LEVEL_,School Levels
4pt5-3vv4,Location,LAT/LON coordinates
4qii-5cz9,CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,Subjects in school
4s7y-vm5x,CORE_SUBJECT,Subjects in school 
4twk-9yq2,CrossStreet2,"Street name, Address"
4twk-9yq2,CrossStreet2,"Street name, Address"
52dp-yji6,Owner_Last_Name,"Person name, Business name"
52dp-yji6,Owner_First_Name,Person name
5cd6-v74i,School_Name,School name
5fn4-dr26,City,City
5mw2-hzqx,BROOKLYN_CONDOMINIUM_PROPERTY_Building_Classification,Building Classification
5uac-w243,PREM_TYP_DESC,Type of location
6anw-twe4,FirstName,"Person name, Business name"
6anw-twe4,LastName,Person name
6bgk-3dad,RESPONDENT_CITY,"City, Neighborhood"
6je4-4x7e,SCHOOL_LEVEL_,School Levels
6rrm-vxj9,parkname,"Parks/Playgrounds, Type of location"
6wcu-cfa3,CORE_COURSE__MS_CORE_and_9_12_ONLY_,Subjects in school
72ss-25qh,Borough,"Borough, Neighborhood"
72ss-25qh,Agency_ID,"City agency, Other"
735p-zed8,CITY,City
735p-zed8,CANDMI,Other
7btz-mnc8,Provider_First_Name,"Person name, Business name"
7btz-mnc8,Provider_Last_Name,"Person name, Business name"
7jkp-5w5g,Agency,City agency
7yay-m4ae,AGENCY_NAME,City agency
8586-3zfm,School_Name,"College/University names, School name"
8eux-rfe8,INPUT_1_Borough,"Borough, City"
8gpu-s594,SCHOOL_NAME,School name
8gqz-6v9v,Website,Websites
8u86-bviy,Address_1__self_reported_,Address
922w-z7da,address_1,"Address, Street name"
956m-xy24,COMPARABLE_RENTAL_2__Building_Classification,Building Classification
9b9u-8989,DBA,Street name
9b9u-8989,Esctablishment_Street,Street name 
9ck8-hj3u,PRINCIPAL_PHONE_NUMBER,Phone Number 
9z9b-6hvk,Borough,"Borough, Neighborhood"
a2pm-dj2w,Borough,"Borough, Neighborhood"
a5qt-5jpu,STATEN_ISLAND_CONDOMINIUM_PROPERTY_Neighborhood,Neighborhood 
a5td-mswe,Vehicle_Color,"Color, Other"
a9md-ynri,MI,Other
ahjc-fdu3,PRINCIPAL_PHONE_NUMBER,Phone Number 
aiww-p3af,Location,LAT/LON coordinates 
aiww-p3af,Incident_Zip,Zip code
aiww-p3af,Street_Name,Street name
aiww-p3af,School_Name,"College/University names, School name"
ajxm-kzmj,NeighborhoodName,Neighborhood
as69-ew8f,StartCity,"Borough, City"
as69-ew8f,TruckMake,"Car make, Other"
bbs3-q5us,ZIP,Zip code
bdjm-n7q4,CrossStreet2,Street name
bdjm-n7q4,Location,LAT/LON coordinates 
bjuu-44hx,DVV_MAKE,Car make 
brga-xeqy,Agency,City agency
bs8b-p36w,LOCATION,LAT/LON coordinates
bty7-2jhb,Site_Safety_Mgr_s_Last_Name,Person name
c284-tqph,Vehicle_Make,"Car make, Other"
c284-tqph,Vehicle_Color,Color
c284-tqph,Vehicle_Make,"Car make, Other"
ccgt-mp8e,Borough,Borough 
cgz5-877h,SCHOOL_LEVEL_,School Levels
ci93-uc8s,telephone,Phone Number
ci93-uc8s,Website,Websites
ci93-uc8s,Vendor_DBA,Business name 
crc3-tcnm,CORE_SUBJECT,Subjects in school
crc3-tcnm,BOROUGH,Borough 
cspg-yi7g,PHONE,"Phone Number, Other"
cspg-yi7g,ADDRESS,"Address, Street name"
cspg-yi7g,ADDRESS,"Address, Street name"
cvh6-nmyi,SCHOOL,"School name, Address"
cvh6-nmyi,SCHOOL_LEVEL_,School Levels
cvse-perd,Agency_Name,City agency
cyfw-hfqk,STATEN_ISLAND_CONDOMINIUM_PROPERTY_Neighborhood,"Neighborhood, Borough"
d3ge-anaz,CORE_COURSE__MS_CORE_and_9_12_ONLY_,Subjects in school
dj4e-3xrn,SCHOOL_LEVEL_,School Levels
dm9a-ab7w,APPLICANT_FIRST_NAME,"Person name, Business name"
dm9a-ab7w,AUTH_REP_LAST_NAME,Person name
dm9a-ab7w,STREET_NAME,Street name
dm9a-ab7w,AUTH_REP_FIRST_NAME,Person name
dpm2-m9mq,owner_city,"City, Borough"
dtmw-avzj,BOROUGH,Borough
e9xc-u3ds,ZIP,Zip code
e9xc-u3ds,CANDMI,Other
ebkm-iyma,Street_Address,Address 
emnd-d8ba,PRINCIPAL_PHONE_NUMBER,Phone Number
en2c-j6tw,BRONX_CONDOMINIUM_PROPERTY_Building_Classification,Neighborhood
erm2-nwe9,Landmark,"Street name, Address"
erm2-nwe9,Park_Facility_Name,"Parks/Playgrounds, School name"
erm2-nwe9,Incident_Zip,Zip code
f3cg-u8bv,Agency,City agency
f42p-xqaa,BROOKLYN___COOPERATIVES_COMPARABLE_PROPERTIES___Building_Classification,Building Classification
f4rp-2kvy,Street,"Street name, Address"
faiq-9dfq,Vehicle_Body_Type,"Vehicle Type, Other"
faiq-9dfq,Vehicle_Body_Type,"Vehicle Type, Other"
faiq-9dfq,Vehicle_Color,Color
fb26-34vu,CORE_SUBJECT__MS_CORE_and_9_12_ONLY_,Subjects in school
fbaw-uq4e,Location_1,LAT/LON coordinates
ffnc-f3aa,SCHOOL_LEVEL_,School Levels
fxdy-q85h,Agency,"City agency, Other"
fzv4-jan3,SCHOOL_LEVEL_,School Levels
ge8j-uqbf,interest,"Areas of study, Subjects in school"
gez6-674h,BORO,Borough
h9gi-nx95,VEHICLE_TYPE_CODE_2,"Vehicle Type, Other"
h9gi-nx95,VEHICLE_TYPE_CODE_5,Vehicle Type
h9gi-nx95,VEHICLE_TYPE_CODE_1,Vehicle Type
h9gi-nx95,VEHICLE_TYPE_CODE_3,Vehicle Type
h9gi-nx95,VEHICLE_TYPE_CODE_4,Vehicle Type
hy4q-igkk,Intersection_Street_2,"Street name, Address"
hy4q-igkk,Park_Facility_Name,"School name, Address"
hy4q-igkk,Cross_Street_1,"Address, Street name"
i6b5-j7bu,TOSTREETNAME,Street name
i8ys-e4pm,CORE_SUBJECT_9_12_ONLY_,Subjects in school
i8ys-e4pm,CORE_COURSE_9_12_ONLY_,Subjects in school
i9pf-sj7c,INTEREST,Areas of study
ic3t-wcy2,Zip,Zip code
ic3t-wcy2,Applicant_s_First_Name,"Person name, Business name"
ipu4-2q9a,Owner_s_House_Zip_Code,Zip code
ipu4-2q9a,Site_Safety_Mgr_s_Last_Name,Person name
ipu4-2q9a,Site_Safety_Mgr_s_First_Name,"Person name, Business name"
iz2q-9x8d,Owner_s__Phone__,Phone Number
jhjm-vsp8,Agency,City agency
ji82-xba5,address,"Address, Street name"
jt7v-77mi,Vehicle_Color,"Color, Other"
jt7v-77mi,Vehicle_Make,Car make
jz4z-kudi,Violation_Location__City_,"Neighborhood, City"
jz4z-kudi,Violation_Location__Zip_Code_,Zip code
jz4z-kudi,Respondent_Address__Zip_Code_,Zip code
jz4z-kudi,Respondent_Address__City_,"Address, Street name, City"
k3cd-yu9d,CANDMI,Other
kiv2-tbus,Vehicle_Color,"Color, Other"
kiv2-tbus,Vehicle_Make,"Car make, Other"
kiv2-tbus,Vehicle_Body_Type,Vehicle Type
kiv2-tbus,Vehicle_Make,"Car make, Other"
kj4p-ruqc,StreetName,"Street name, Address"
kwmq-dbub,CANDMI,Other
kwmq-dbub,CITY,City
m59i-mqex,QUEENS_CONDOMINIUM_PROPERTY_Building_Classification,Building Classification
mdcw-n682,First_Name,Person name
mdcw-n682,Last_Name,Person name
mdcw-n682,Agency_Website,Websites
mdcw-n682,Middle_Initial,Person name
mjux-q9d4,SCHOOL_LEVEL_,School Levels
mjux-q9d4,SCHOOL,"School name, Address"
mjux-q9d4,SCHOOL,"School name, Address"
mq9d-au8i,School_Name,College/University names 
mqdy-gu73,Color,Color
mrxb-9w9v,BOROUGH___COMMUNITY,Borough
mu46-p9is,Location,LAT/LON coordinates
myei-c3fa,Neighborhood_2,"Neighborhood, Borough"
myei-c3fa,Neighborhood,Neighborhood
n2mv-q2ia,Address_1__self_reported_,Address
n2s5-fumm,BRONX_CONDOMINIUM_PROPERTY_Neighborhood,Neighborhood 
n3p6-zve2,website,Websites
n84m-kx4j,VEHICLE_MAKE,Car make
nhms-9u6g,Name__Last__First_,Person name
niy5-4j7q,MANHATTAN___COOPERATIVES_COMPARABLE_PROPERTIES___Neighborhood,Neighborhood
niy5-4j7q,COMPARABLE_RENTAL___2__Building_Classification,Building Classification
niy5-4j7q,MANHATTAN___COOPERATIVES_COMPARABLE_PROPERTIES___Building_Classification,Building Classification
p937-wjvj,LOCATION,LAT/LON coordinates
p937-wjvj,HOUSE_NUMBER,"Address, Street name"
pdk7-puui,Agency,City agency
pdpg-nn8i,CORE_SUBJECT___MS_CORE_and__9_12_ONLY_,Subjects in school
ph7v-u5f3,WEBSITE,Websites
ph7v-u5f3,TOP_VEHICLE_MODELS___5,"Car make, Vehicle Type"
pq5i-thsu,DVC_MAKE,"Car make, Other"
pqg4-dm6b,Phone,Phone Number
pqg4-dm6b,Address1,Address
ptev-4hud,City,City
pvqr-7yc4,Vehicle_Make,"Car make, Other"
pvqr-7yc4,Vehicle_Make,"Car make, Other"
pvqr-7yc4,Vehicle_Color,"Color, Other"
pvqr-7yc4,Vehicle_Body_Type,"Vehicle Type, Other"
pvqr-7yc4,Vehicle_Body_Type,"Vehicle Type, Other"
q5za-zqz7,Agency,City agency
qcdj-rwhu,BUSINESS_NAME2,Business name
qgea-i56i,PREM_TYP_DESC,"Type of location, Parks/Playgrounds"
qgea-i56i,PREM_TYP_DESC,"Type of location, Parks/Playgrounds"
qpm9-j523,org_neighborhood,"Neighborhood, Borough"
qu8g-sxqf,First_Name,"Person name, Business name"
qu8g-sxqf,MI,Other
qusa-igsv,CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,Subjects in school 
r4c5-ndkx,_Phone,Phone Number 
rmv8-86p4,BROOKLYN_CONDOMINIUM_PROPERTY_Building_Classification,Building Classification
rtws-c2ai,School_Name,College/University names 
ruce-cnp6,Agency,City agency
s27g-2w3u,School_Name,"School name, Address"
s3k6-pzi2,website,Websites
s3k6-pzi2,interest1,Areas of study
s3k6-pzi2,interest5,Areas of study
s3k6-pzi2,interest4,Areas of study
s3zn-tf7c,QUEENS_CONDOMINIUM_PROPERTY_Neighborhood,Neighborhood
s79c-jgrm,City,"City, Neighborhood"
s9d3-x4fz,ZIP,"Zip code, Other"
sqcr-6mww,Park_Facility_Name,School name
sqcr-6mww,Cross_Street_2,Street name
sqcr-6mww,Location,LAT/LON coordinates 
Street name,Last_Name__only_2014_15_,Person name
sv2w-rv3k,BORO,Borough
sxmw-f24h,Street_Name,"Street name, Address"
sxmw-f24h,School_Name,School name
sxmw-f24h,Cross_Street_1,Street name
sxx4-xhzg,Park_Site_Name,"Parks/Playgrounds, School name"
szkz-syh6,Prequalified_Vendor_Address,Street name
t8hj-ruu2,License_Business_City,"City, Borough"
t8hj-ruu2,First_Name,Person name
t8hj-ruu2,Business_Phone_Number,Phone Number
tg3t-nh4h,BusinessName,Business name
tqtj-sjs8,FromStreetName,Street name 
uchs-jqh4,School_Name,"School name, Address"
upwt-zvh3,SCHOOL_LEVEL_,School Levels
uq7m-95z8,neighborhood,"Neighborhood, Borough"
uq7m-95z8,interest1,"Areas of study, Subjects in school"
uq7m-95z8,interest6,"Subjects in school, Areas of study"
uqxv-h2se,independentwebsite,Websites
urc8-8bjy,BORO,Borough
urzf-q2g5,Phone_Number,Phone Number
uwyv-629c,StreetName,Street name
uzcy-9puk,Intersection_Street_2,"Address, Street name"
uzcy-9puk,Street_Name,"Street name, Address"
uzcy-9puk,School_Name,School name
uzcy-9puk,Incident_Zip,Zip code 
va74-3m6c,company_phone,Phone Number
vhah-kvpj,Borough,"Borough, Neighborhood"
vr8p-8shw,DVT_MAKE,Car make 
vrn4-2abs,SCHOOL_LEVEL_,School Levels
vw9i-7mzq,interest1,"Areas of study, Subjects in school"
vw9i-7mzq,interest3,Areas of study
vw9i-7mzq,interest4,Subjects in school
vwxi-2r5k,CORE_SUBJECT,Subjects in school
vwxi-2r5k,BOROUGH,Borough
vx8i-nprf,MI,Other
vx8i-nprf,MI,Other
w6yt-hctp,BROOKLYN_CONDOMINIUM_PROPERTY_Neighborhood,Neighborhood 
w9ak-ipjd,Applicant_Last_Name,Person name
w9ak-ipjd,Owner_s_Business_Name,Business name
w9ak-ipjd,Filing_Representative_First_Name,"Person name, Business name"
w9ak-ipjd,City,City 
w9if-3pyn,School_Name,College/University names 
wcmg-48ep,CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,"Subjects in school, Areas of study"
weg5-33pj,SCHOOL_LEVEL_,School Levels
wks3-66bn,School_Name,School name
xck4-5xd5,website,Websites
xne4-4v8f,SCHOOL_LEVEL_,School Levels
xubg-57si,OWNER_BUS_STREET_NAME,"Address, Street name"
y4fw-iqfr,Address,Address
yahh-6yjc,School_Type,School Levels
yayv-apxh,SCHOOL_LEVEL_,School Levels
ydkf-mpxb,CrossStreetName,Street name
yg5a-hytu,CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,Subjects in school
yjub-udmw,Location__Lat__Long_,LAT/LON coordinates 
yrf7-4wry,COMPARABLE_RENTAL___2___Neighborhood,"Neighborhood, Borough"
yvxd-uipr,Location_1,LAT/LON coordinates
8k4x-9mp5,Last_Name__only_2014_15_,"Person name, Business name"
9b9u-8989,Establishment_Street,"Street name, Address"